Micom IDU2 Data,Time Interval = 2 sec,Save Start Time:,"Wednesday, November 04 13:55:51, 2020",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Multi V S,Multi V S,R410A,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kW"
Distributor:,전문점,Version:,"22.4.0",LGMV:,8.1.9R,External:,"-"
Installer:,설치자,EEPROM:,"0.0.0",COMP:,"-",FAN:,"-"
Model:,모델,IDU NUM:,10,Connect:,IDU
Site:,현장,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,용량9,모드9,풍량9,EEV9,공기9,배관in9,배관out9,SC/SH9,추가정보9,통신9,CEN9,에러9,TGT9,TGT29,,,,,용량10,모드10,풍량10,EEV10,공기10,배관in10,배관out10,SC/SH10,추가정보10,통신10,CEN10,에러10,TGT10,TGT210,,,,
95,13:59:00,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
96,13:59:02,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
97,13:59:04,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
98,13:59:06,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
99,13:59:08,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
100,13:59:10,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
101,13:59:12,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
102,13:59:15,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
103,13:59:17,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
104,13:59:19,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
105,13:59:21,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
106,13:59:23,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
107,13:59:25,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
108,13:59:27,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
109,13:59:29,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
110,13:59:31,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
111,13:59:33,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
112,13:59:35,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
113,13:59:37,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
114,13:59:39,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
115,13:59:41,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
116,13:59:43,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
117,13:59:45,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
118,13:59:47,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
119,13:59:49,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
120,13:59:51,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
121,13:59:53,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
122,13:59:55,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
123,13:59:57,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
124,13:59:59,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
125,14:00:01,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
126,14:00:03,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
127,14:00:05,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
128,14:00:07,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
129,14:00:09,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
130,14:00:11,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
