CH Name,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R
CH No.,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32
33,0.3,0.3,0.8,0.2,0.4,0.7,1.1,2.2,1,2.3,0.3,1.1,0.9,0.8,0.1,0.3,0.6,1.1,0.3,2.1,30,30,31,5,5,31,30,5,7,30,31,5,4,4,8,30,30,65,4,30
34,0.3,0.8,0.7,0.2,0.5,0.5,1.8,3.1,0.9,2.9,0.3,1.2,0.6,0.6,0.3,1,1.8,4,0.7,3.9,21,21,30,4,34,21,21,5,4,34,21,35,34,73,133,30,21,64,133,34
35,0.4,0.9,0.7,0.2,0.7,0.9,2.5,3.5,1,3.9,0.3,1.4,1.5,1.1,0.4,1.5,1.9,4.5,1,4.5,51,51,51,51,51,51,51,40,44,40,51,40,44,44,44,44,51,102,44,40
36,0.4,0.9,0.9,0.2,0.9,1.1,2.8,1.4,0.5,1.5,0.5,0.6,0.7,0.6,0.3,0.6,2.4,2.8,0.5,2.2,54,54,54,54,54,54,54,54,54,54,54,54,106,54,54,53,54,106,53,54
37,0.4,0.9,1.1,0.2,1.3,1.2,3.1,2.1,0.4,2,0.6,0.8,1,1,0.3,0.5,1.6,3.2,0.6,2.3,58,58,58,59,58,58,58,58,58,58,58,58,58,58,58,59,58,58,177,58
38,0.7,1.1,1.9,0.2,2.2,1.6,4.4,5,1,5,1,1.9,2.8,3.5,0.5,1.2,3.7,6.8,1.3,3.7,126,62,62,61,62,62,62,62,63,62,62,62,62,62,62,63,62,62,126,62
39,0.6,1.3,2.1,0.6,2.1,1.4,4,5.4,1.5,5.6,1.1,2.1,3.7,4.3,0.6,1.2,3.4,6.3,1.9,3.1,65,65,65,6,65,65,65,65,65,65,65,65,65,65,65,65,65,65,133,65
40,0.7,1.3,1.9,0.9,2.6,1.7,2.4,5,1.3,5.2,1.6,1.8,3.7,3.8,0.4,1.3,2.3,6.2,1.1,2.9,4,139,70,4,70,70,69,70,70,70,69,70,70,70,70,70,70,70,70,69
41,1.5,1.9,1.8,1.5,2.3,2,2.4,4.5,1.2,4.8,1.7,1.8,4.3,3.7,0.4,1,1.7,5.9,1.1,2.9,4,75,74,4,74,75,75,74,75,74,74,74,75,75,74,74,74,73,74,74
42,1,1.9,1.6,0.3,2.3,2.9,4.5,5.1,1.6,5.4,0.7,2,6.6,4.8,0.5,1.5,2.3,4.1,1.3,3.7,79,79,79,79,79,79,79,79,79,79,79,79,79,79,159,79,79,79,159,79
