CH Name,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R
CH No.,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32
33,0.5,1.1,2,0.3,1.9,1.3,2.1,5,1.3,5.2,0.9,1.9,3.2,3.7,0.6,1,1.8,7.4,1.7,2.6,72,73,72,141,72,72,71,72,72,72,72,72,72,72,72,72,71,142,142,72
34,0.6,1.2,1.8,0.3,2.4,2.1,2.8,4.5,1.3,4.9,0.7,1.8,4.2,3.8,0.4,0.9,1.5,5,1.2,2.4,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,75,76,76
35,1.3,2.7,1.9,0.4,2.6,3.5,4.8,5.2,1.7,5.6,1.8,2.1,6.1,4.8,0.5,1.4,2.1,5.5,0.9,2.7,81,81,80,81,80,80,80,80,80,80,81,80,80,80,80,80,80,80,79,80
36,1.5,3.7,1.4,0.4,4.2,3.6,6.5,5.5,2.2,5.9,2.6,2.3,6.9,5.7,0.4,1.5,2.5,7.3,1,3,84,84,84,170,84,84,84,84,84,84,84,84,84,84,84,84,84,84,85,84
37,2,3.9,1.1,0.8,6,3.6,7.6,5.2,2.6,5.8,2.6,2.1,6.9,6.5,0.4,1.5,3.8,13.2,1.9,2.5,88,88,88,88,88,88,88,88,88,88,88,88,88,88,267,88,88,88,88,88
38,2.5,3.6,1,0.9,3.1,2.8,6.8,3.8,2.5,4.5,2.4,1.7,6.6,6.5,0.3,1.7,3.8,15.9,2,2.9,92,92,91,92,92,92,92,92,92,92,92,92,92,92,273,92,92,92,92,92
39,2.6,3.5,1.4,0.8,3,2.4,5,2.8,2.1,3.3,2,1.2,6.2,5.4,0.3,1.5,3,14.9,1.6,2.2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,400,96,96,96,96,96
40,2.6,3.3,1.3,0.4,2.3,1.2,3.2,1.6,1.4,1.8,1.3,0.7,4,3.7,0.3,0.9,1.9,9.9,1.1,1.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,400,100,202,100,100,100
41,2.7,3.6,1.3,0.6,1.9,0.8,2.8,1.3,1.3,1.4,1,0.7,3.5,3.2,0.3,0.7,3,7,1.1,1.1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,209,104,209,104,104,104
42,2.6,3.8,1.5,0.6,1.9,0.7,3,1.2,1.2,1.3,0.9,0.6,3.3,3,0.3,0.7,2.9,6.4,1.2,1.2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
43,2.6,4,1.5,0.6,1.7,0.7,2.9,1.1,1.2,1.3,0.9,0.5,3.1,3.1,0.3,0.8,2.7,6.5,1.2,1.2,105,105,105,105,105,210,105,105,105,105,105,105,105,105,210,105,210,105,105,105
44,2.8,4.1,1.7,0.5,1.7,0.8,3,1.3,1.1,1.3,0.8,0.6,3,3.1,0.3,0.8,2.5,6,1.3,1.3,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
