CH Name,S_정면,S_측면,S_2R,S_5R,S_6R,D_정면,D_측면,D_2R,D_3R,D_6R,S_정면,S_측면,S_2R,S_5R,S_6R,D_정면,D_측면,D_2R,D_3R,D_6R
CH No.,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26
86,1.0,1.9,2.0,2.1,1.8,0.8,0.7,0.7,1.3,1.3,59,30,59,59,30,120,180,120,30,120
87,1.0,1.9,2.1,2.0,1.8,0.7,0.7,0.7,1.3,1.3,59,30,59,59,30,120,120,120,30,120
88,1.1,2.0,1.9,2.1,1.8,0.9,0.8,0.7,1.2,1.4,59,30,59,59,30,120,180,120,30,120
89,1.1,1.9,1.8,2.1,1.8,0.8,0.8,0.7,1.2,1.3,59,30,59,59,30,240,120,240,30,120
90,1.0,1.8,1.9,2.0,1.8,0.8,0.8,0.7,1.2,1.2,59,30,59,59,30,120,300,120,30,120
91,1.1,2.0,2.0,2.0,1.8,0.7,0.8,0.7,1.2,1.4,59,30,59,59,30,240,120,120,30,120
92,1.0,2.0,1.9,2.0,1.7,0.8,0.8,0.6,1.4,1.3,59,30,59,59,30,120,120,120,30,120
93,1.1,2.2,2.3,2.1,1.9,0.8,0.8,0.7,1.2,1.5,59,30,59,59,30,120,120,120,30,120
94,1.0,2.0,2.1,2.1,1.7,0.8,0.7,0.7,1.3,1.3,59,30,59,59,30,120,120,120,30,120
95,1.1,1.8,1.8,2.0,1.7,0.8,0.7,0.7,1.3,1.2,59,30,59,59,30,120,120,120,30,120
96,1.0,2.1,1.8,2.0,1.8,0.7,0.8,0.7,1.3,1.3,59,30,59,59,30,120,120,120,30,120
97,1.1,2.2,2.0,2.1,1.7,0.8,0.7,0.7,1.2,1.3,59,30,59,59,30,120,120,120,30,120
98,1.0,2.1,1.9,1.9,1.8,0.9,0.8,0.7,1.3,1.3,59,30,59,59,30,120,120,120,30,120
99,1.2,1.9,1.8,2.1,1.9,1.0,0.7,0.7,1.3,1.3,59,30,59,59,30,120,120,120,30,120
100,1.0,1.9,2.0,2.1,1.9,0.7,0.8,0.6,1.3,1.4,59,30,59,59,30,120,120,120,30,120
101,1.1,2.1,2.0,2.1,1.8,0.8,0.8,0.6,1.2,1.2,59,30,59,59,30,120,120,120,30,120
102,1.2,2.3,2.3,2.1,1.8,0.8,0.8,0.7,1.2,1.3,59,30,59,59,30,120,120,120,30,120
103,1.1,2.2,2.2,2.2,1.8,0.8,0.8,0.7,1.3,1.3,59,30,59,59,30,120,120,120,30,120
104,1.0,2.0,1.9,2.0,1.8,0.7,0.8,0.7,1.3,1.4,59,30,59,59,30,120,120,120,30,120
105,1.0,2.0,2.0,2.0,1.8,0.8,0.8,0.7,1.2,1.4,59,30,59,59,30,120,120,120,30,120
106,1.1,2.0,2.0,2.0,1.8,0.8,0.8,0.7,1.3,1.4,59,30,59,59,30,120,120,120,30,120
107,1.1,2.1,2.2,2.1,1.7,0.8,0.8,0.6,1.3,1.3,59,30,59,59,30,120,120,120,30,120
108,1.1,2.1,2.1,2.2,1.9,0.7,0.8,0.7,1.3,1.4,59,30,59,59,30,120,120,120,30,120
109,1.1,2.1,1.9,2.0,1.7,0.8,0.7,0.7,1.3,1.4,59,30,59,59,30,120,180,120,30,120
110,1.0,1.9,1.8,1.9,1.8,0.8,0.8,0.7,1.2,1.3,59,30,59,59,30,240,180,120,30,120
111,1.0,1.9,1.9,2.0,1.8,0.8,0.8,0.6,1.2,1.3,59,30,59,59,30,120,180,120,30,120
112,1.1,1.9,1.8,1.9,1.8,0.7,0.8,0.7,1.3,1.3,59,30,59,59,30,120,180,120,30,120
113,1.0,1.9,1.9,2.1,1.8,0.9,0.7,0.6,1.3,1.3,59,30,59,59,30,120,180,120,30,120
114,1.0,2.0,1.8,2.1,1.7,0.7,0.7,0.7,1.2,1.2,59,30,59,59,30,120,180,120,30,120
115,1.0,1.9,1.8,2.0,1.8,0.8,0.7,0.7,1.3,1.3,59,30,59,59,30,120,180,120,30,120
116,1.0,1.8,1.8,2.0,1.8,0.7,0.7,0.7,1.3,1.2,59,30,59,59,30,120,180,120,30,120
117,1.1,1.9,2.0,2.0,1.9,0.7,0.8,0.7,1.2,1.3,59,30,59,59,30,120,120,120,30,120
118,1.1,2.0,2.2,2.1,1.8,0.8,0.8,0.7,1.2,1.3,59,30,59,59,30,120,180,120,30,120
119,1.0,2.3,1.8,2.1,1.8,0.8,0.7,0.7,1.3,1.2,59,30,59,59,30,120,120,120,30,120
120,1.0,1.8,2.0,2.0,1.8,0.8,0.8,0.7,1.3,1.3,59,30,59,59,30,120,120,120,30,120
121,1.1,2.3,2.2,2.1,1.8,0.7,0.8,0.7,1.3,1.3,59,30,59,59,30,120,120,120,30,120
122,1.1,1.9,1.9,2.0,1.8,0.8,0.7,0.7,1.3,1.2,59,30,59,59,30,120,120,120,30,120
123,1.1,2.0,2.0,2.1,1.7,0.7,0.8,0.6,1.2,1.3,59,30,59,59,30,120,300,120,30,120
124,1.1,2.0,1.8,1.9,1.8,0.6,0.7,0.8,1.3,1.3,59,30,59,59,30,120,120,120,30,120
125,1.0,1.9,1.8,2.1,1.8,0.7,0.8,0.7,1.2,1.3,59,30,59,59,30,120,300,120,30,120
126,1.2,2.0,2.0,2.0,1.8,0.7,0.7,0.7,1.3,1.3,59,30,59,59,30,120,120,120,30,120
127,1.1,1.9,1.9,2.0,1.9,0.8,0.8,0.6,1.2,1.3,59,30,59,59,30,120,120,120,30,120
128,1.1,2.1,2.0,2.1,1.8,0.7,0.8,0.7,1.2,1.4,59,30,59,59,30,120,120,120,30,120
129,1.0,1.8,2.0,2.1,1.8,0.8,0.7,0.6,1.3,1.2,59,30,59,59,30,120,120,120,30,120
130,1.0,1.9,2.1,2.1,1.7,0.8,0.8,0.6,1.3,1.3,59,30,59,59,30,120,120,120,30,120
131,1.0,1.9,1.8,1.8,1.7,0.7,0.7,0.7,1.3,1.3,59,30,59,59,30,120,120,120,30,120
132,1.1,2.0,1.8,2.2,1.8,0.9,0.9,0.6,1.2,1.4,59,30,59,59,30,120,120,120,30,120
133,1.0,2.2,1.9,2.0,1.8,0.7,0.7,0.7,1.2,1.2,59,30,59,59,30,120,120,120,30,120
134,1.1,2.0,1.9,2.1,1.8,0.8,0.7,0.7,1.2,1.3,59,30,59,59,30,120,120,120,30,120
135,1.0,1.8,1.8,1.9,1.9,0.7,0.7,0.7,1.3,1.3,59,30,59,59,30,59,120,120,30,120
136,1.2,2.2,2.0,2.0,1.8,0.7,0.7,0.6,1.3,1.3,59,30,59,59,30,120,60,120,30,120
137,1.1,2.2,2.1,2.4,1.8,0.8,0.7,0.7,1.3,1.2,59,30,59,59,30,9,120,120,30,120
138,1.1,1.9,1.9,2.0,1.8,0.8,0.7,0.6,1.2,1.2,59,30,59,59,30,120,300,120,30,120
139,1.1,1.9,1.9,2.0,1.7,0.8,0.7,0.7,1.3,1.3,59,30,59,59,30,120,120,120,30,120
140,1.1,2.2,2.1,2.1,1.9,0.8,0.8,0.6,1.3,1.4,59,30,59,59,30,120,180,120,30,120
141,1.0,1.8,1.7,1.9,1.7,0.7,0.8,0.7,1.3,1.3,59,30,59,59,30,120,180,120,30,120
142,1.1,1.8,1.9,2.0,1.9,0.8,0.8,0.6,1.3,1.3,59,30,59,59,30,120,180,120,30,120
143,1.1,2.0,2.0,2.0,1.8,0.8,0.8,0.6,1.3,1.3,59,30,59,59,30,120,180,120,30,120
144,1.0,1.9,1.8,2.1,1.9,0.7,0.7,0.6,1.3,1.2,59,30,59,59,30,59,180,120,30,120
145,1.0,1.9,2.0,2.0,1.8,0.8,0.7,0.6,1.2,1.3,59,30,59,59,30,120,60,120,30,120
146,1.1,1.9,1.9,2.1,1.7,0.8,0.8,0.7,1.2,1.3,59,30,59,59,30,120,60,120,30,120
147,1.0,1.8,1.9,2.0,1.9,0.7,0.8,0.7,1.3,1.2,59,30,59,59,30,120,60,120,30,120
148,1.1,2.1,2.0,2.1,1.8,0.8,0.7,0.7,1.3,1.4,59,30,59,59,30,120,60,120,30,120
149,1.0,1.9,1.8,2.0,1.8,0.7,0.8,0.6,1.3,1.3,59,30,59,59,30,120,60,120,30,120
150,1.0,2.0,2.0,2.0,1.7,0.8,0.7,0.7,1.3,1.3,59,30,59,59,30,120,60,120,30,120
151,1.1,2.0,2.0,2.1,1.8,0.8,0.8,0.7,1.2,1.4,59,30,59,59,30,120,60,120,30,120
152,1.0,1.8,2.0,2.0,1.8,0.7,0.8,0.7,1.2,1.2,59,30,59,59,30,120,60,120,30,120
153,1.1,1.9,1.9,2.1,1.8,0.7,0.8,0.7,1.3,1.3,59,30,59,59,30,120,60,120,30,120
154,1.1,2.0,2.0,1.9,1.7,0.8,0.9,0.6,1.3,1.3,59,30,59,59,30,120,60,120,30,120
155,1.2,2.0,2.0,2.2,1.8,0.8,0.8,0.6,1.3,1.4,59,30,59,59,30,120,60,120,30,120
156,1.0,1.9,1.8,1.7,1.8,0.8,0.9,0.6,1.2,1.3,30,30,30,60,30,120,180,30,30,120
157,0.9,1.8,1.8,2.0,1.7,0.7,0.8,0.7,1.2,1.2,31,31,31,62,31,62,60,31,31,120
158,1.0,1.6,1.9,2.3,1.8,0.9,0.9,0.7,1.3,1.3,32,32,32,64,32,64,32,32,32,120
159,0.9,1.6,1.7,2.4,1.7,0.8,0.9,0.8,1.2,1.3,66,33,66,66,33,66,33,33,33,120
160,1.0,1.9,1.9,3.2,1.6,0.9,0.9,0.9,1.2,1.9,68,34,68,68,34,68,34,34,34,120
161,1.3,1.9,2.2,3.5,1.5,1.1,1.0,0.9,1.4,1.9,70,35,70,70,35,70,35,35,35,35
162,1.1,2.0,2.0,3.2,1.4,1.1,0.9,0.9,1.3,2.0,72,72,72,72,36,72,36,36,36,36
163,1.1,1.9,2.0,3.0,1.3,1.1,1.1,1.2,1.6,2.8,74,74,74,74,37,74,37,37,37,37
164,0.9,1.9,1.8,2.9,1.3,1.0,1.4,1.5,2.3,4.0,75,76,75,75,38,38,38,38,38,38
165,0.8,1.5,1.6,2.2,1.2,1.0,1.6,2.0,3.1,5.4,39,78,78,78,39,39,39,39,39,39
166,1.0,1.6,1.9,2.1,1.3,1.0,1.5,1.7,2.7,5.6,40,80,40,80,40,40,40,40,40,40
167,1.1,1.6,2.0,2.1,1.5,1.0,1.2,1.3,2.1,3.8,41,41,41,41,41,41,41,41,41,41
168,1.1,1.8,2.0,2.1,1.6,0.8,1.0,1.1,1.6,3.3,41,83,41,83,41,120,300,42,42,42
169,1.0,1.7,1.7,1.8,1.5,0.9,1.0,1.1,1.6,3.2,41,83,41,83,41,207,60,41,41,41
170,1.0,1.7,1.8,2.0,1.4,0.8,1.1,1.1,1.6,3.2,41,83,41,83,41,207,60,41,41,41
171,1.2,2.0,1.9,2.0,1.5,0.9,1.0,1.0,1.7,3.2,41,83,41,83,41,207,60,41,41,41
172,1.1,1.9,1.9,2.0,1.4,1.0,1.1,1.0,1.7,3.4,41,83,41,83,41,207,60,41,41,41
173,1.1,1.9,1.9,2.1,1.4,1.0,1.1,1.1,1.6,3.3,41,83,41,83,41,207,60,41,41,41
