Micom ODU1 Data,Time Interval = 2 sec,Save Start Time:,"Thursday, October 08 11:08:52, 2020",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Single&Multi,Pressure,R410A,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kBtu/h"
Distributor:,PUW1303T9FR,Version:,"-",LGMV:,8.3.5R,External:,"-"
Installer:,설치자,EEPROM:,"0.20(0.14)",COMP:,"-",FAN:,"-"
Model:,PUW1303T9FR,IDU NUM:,1,Connect:,ODU
Site:,장배관,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,목표고압,목표저압,INV1토출목표,,현재고압,현재저압,COMP기준,,압축비,설정온도차,,,PC CTRL,운전상태 유지,4WAY,HOT GAS,SUMP HEAT,Cooling Fan,오일분리기,POWERRELAY,PFC,PFC CTRL,COP,DEFROSTING,OIL REFUREL,OIL RETURN,FAN1 H,FAN1 L,FAN2 H,FAN2 L,,,INV 목표,INV 현재,FAN 목표,FAN 현재,FAN2 목표,FAN2 현재,Main EEV,COMP운전,Sub EEV,VI EEV1,,,,,공기온도,흡입온도,응축온도,증발온도,INV 토출온도,열교환기온도,열교환기출구,Comp Heatsink,INV토출과열도,IHEX 입구,IHEX 출구,,,,,,,,,,
36,11:10:02,1,,,0,761,0,,1906,1583,0,,1.19,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,620,620,0,0,0,31,0,0,,,,,32.0,220.0,32.6,26.0,36.0,32.4,220.0,35.00,3.4,220.0,220.0,,,,,,,,,,
37,11:10:04,1,,,0,761,0,,1906,1583,0,,1.19,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,620,620,0,0,0,34,0,0,,,,,32.0,220.0,32.6,26.0,36.0,32.4,220.0,35.00,3.4,220.0,220.0,,,,,,,,,,
38,11:10:06,1,,,0,761,0,,1906,1583,0,,1.19,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,620,620,0,0,0,34,0,0,,,,,32.0,220.0,32.6,26.0,36.0,32.4,220.0,35.00,3.4,220.0,220.0,,,,,,,,,,
39,11:10:08,1,,,0,761,0,,1906,1583,0,,1.19,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,620,620,0,0,0,40,0,0,,,,,32.0,220.0,32.6,24.5,36.0,32.4,220.0,37.00,3.4,220.0,220.0,,,,,,,,,,
40,11:10:10,1,,,0,761,0,,1927,1516,0,,1.25,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,620,620,0,0,0,40,0,0,,,,,32.0,220.0,32.6,24.5,36.0,32.4,220.0,37.00,3.4,220.0,220.0,,,,,,,,,,
41,11:10:12,1,,,0,761,0,,1927,1516,0,,1.25,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,620,620,0,0,0,44,0,0,,,,,32.0,220.0,33.3,24.5,37.0,32.8,220.0,37.00,3.7,220.0,220.0,,,,,,,,,,
42,11:10:14,1,,,0,762,0,,1948,1426,0,,1.34,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,620,620,0,0,0,44,0,0,,,,,32.0,220.0,33.3,24.5,37.0,32.8,220.0,37.00,3.7,220.0,220.0,,,,,,,,,,
43,11:10:16,1,,,0,762,0,,1948,1426,0,,1.34,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,620,620,0,0,0,47,0,0,,,,,32.3,220.0,33.9,22.3,37.0,33.2,220.0,37.00,3.1,220.0,220.0,,,,,,,,,,
44,11:10:18,1,,,0,762,0,,1969,1426,0,,1.36,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,620,620,0,0,0,47,0,0,,,,,32.3,220.0,33.9,22.3,38.0,33.6,220.0,37.00,4.1,220.0,220.0,,,,,,,,,,
45,11:10:20,1,,,0,762,0,,1969,1426,0,,1.36,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,620,620,0,0,0,51,0,0,,,,,32.3,220.0,33.9,22.3,38.0,33.6,220.0,37.00,4.1,220.0,220.0,,,,,,,,,,
46,11:10:22,1,,,0,762,0,,1995,1289,0,,1.51,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,620,620,0,0,0,54,0,0,,,,,32.3,220.0,34.5,19.1,38.0,34.1,220.0,37.00,3.5,220.0,220.0,,,,,,,,,,
47,11:10:24,1,,,0,762,0,,1995,1289,0,,1.51,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,620,620,0,0,0,54,0,0,,,,,32.3,220.0,34.5,19.1,38.0,34.1,220.0,37.00,3.5,220.0,220.0,,,,,,,,,,
