CH Name,D_정면,D_측면,D_1R,D_2R,D_3R,S_정면,S_측면,S_1R,S_2R,S_3R,aa,bb,dd,cc,gg,hh,rr,ee,ww,ll
CH No.,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26
68,0.4,0.9,0.9,0.3,0.6,0.8,0.6,0.8,0.6,0.6,120,120,120,120,120,120,120,120,120,120
69,0.4,0.9,0.9,0.2,0.7,0.8,0.5,0.9,0.6,0.6,120,120,120,120,120,120,120,120,120,120
70,0.4,1,0.9,0.2,0.7,0.8,0.5,0.9,0.6,0.7,120,120,120,120,120,120,120,120,120,120
71,0.4,0.9,0.8,0.2,0.6,0.8,0.5,0.9,0.6,0.7,120,120,120,120,120,120,120,120,120,120
72,0.4,0.9,0.8,0.2,0.7,0.9,0.5,0.9,0.6,0.6,120,120,120,120,120,120,120,120,120,120
73,0.5,1.1,1,0.2,0.8,1,0.6,1,0.6,1.6,120,120,120,120,120,120,120,120,120,120
74,0.4,1,0.9,0.2,0.6,0.9,0.6,1,0.5,0.7,120,120,120,120,120,120,120,120,120,120
75,0.5,0.9,0.8,0.3,0.6,0.8,0.5,0.9,0.6,0.7,120,120,120,120,120,120,120,120,120,120
76,0.4,1,0.9,0.2,0.7,0.9,0.5,1,0.6,0.7,120,120,120,120,120,120,120,120,120,120
77,0.5,1,0.9,0.2,0.7,0.9,0.5,0.9,0.6,0.6,120,120,120,120,120,120,120,120,120,120
78,0.4,0.9,0.9,0.2,0.7,0.8,0.5,1,0.6,0.7,120,120,120,120,120,120,120,120,120,120
79,0.5,1,0.9,0.3,0.7,0.9,0.6,1,0.5,0.6,120,120,120,120,120,120,120,120,120,120
80,0.4,1,0.9,0.3,0.7,0.9,0.5,0.9,0.5,0.7,120,120,120,120,120,120,120,120,120,120
81,0.5,1,0.9,0.2,0.7,0.9,0.6,0.9,0.7,0.7,120,120,120,120,120,120,120,120,120,120
82,0.5,1,0.9,0.3,0.7,0.9,0.5,0.9,0.6,0.6,120,120,120,120,120,120,120,120,120,120
83,0.5,1,1,0.2,0.7,1,0.5,1,0.6,0.7,120,120,120,120,120,120,120,120,120,120
84,0.4,0.9,0.8,0.3,0.7,0.9,0.5,0.9,0.6,0.7,120,120,120,10,120,120,120,120,120,120
85,0.5,1.1,1,0.2,0.7,1.1,0.6,1.1,0.5,0.6,120,120,120,120,120,120,120,120,120,120
86,0.5,1,1,0.2,0.8,1,0.5,1,0.6,0.6,120,120,120,120,120,120,120,120,120,120
87,0.4,1,1,0.3,0.8,1,0.5,0.9,0.6,0.6,120,120,120,120,120,120,120,120,120,120
88,0.5,1,1,0.3,0.7,0.9,0.6,1,0.6,0.6,120,120,120,120,120,120,120,120,120,120
89,0.5,0.9,0.8,0.3,0.7,0.8,0.5,0.9,0.5,0.6,120,120,120,120,120,120,120,120,120,120
90,0.4,0.9,0.8,0.2,0.7,0.8,0.5,0.9,0.6,0.6,120,120,120,120,120,120,120,120,120,120
91,0.6,1,0.9,0.3,0.7,1,0.6,1,0.5,0.6,120,120,120,120,120,120,120,120,120,120
92,0.5,1.2,1,0.2,0.8,1,0.5,1,0.5,0.6,120,120,120,120,120,120,120,120,120,120
93,0.5,0.9,0.9,0.2,0.7,0.8,0.5,1,0.5,0.6,120,120,120,120,120,120,120,120,120,120
94,0.5,1,0.9,0.3,0.7,0.9,0.6,1,0.6,0.7,120,120,120,120,120,120,120,120,120,120
95,0.5,1,0.9,0.2,0.8,1,0.5,0.9,0.6,0.7,120,120,120,120,120,120,120,120,120,120
96,0.4,1,1,0.2,0.7,0.9,0.6,1,0.6,0.6,120,120,120,120,120,120,120,120,120,120
97,0.4,1,1,0.3,0.8,0.9,0.5,1,0.5,0.6,120,120,120,120,120,120,120,120,120,120
98,0.5,1.1,0.9,0.2,0.7,1,0.5,1,0.5,0.6,120,120,120,120,120,120,120,120,120,120
99,0.5,1,0.9,0.3,0.7,0.9,0.5,1,0.6,0.6,120,120,120,120,120,120,120,120,120,120
100,0.5,1.2,1,0.2,0.9,1,0.6,1.1,0.6,0.7,120,120,120,120,120,120,120,120,120,120
101,0.5,1,0.9,0.2,0.7,1,0.6,0.9,0.6,0.7,120,120,120,120,120,120,120,120,120,120
102,0.4,1,0.8,0.3,0.7,1,0.5,0.9,0.6,0.6,120,120,120,120,120,120,120,120,120,120
103,0.5,1,0.9,0.2,0.7,0.9,0.6,1,0.6,0.6,120,120,120,120,120,120,120,120,120,120
104,0.5,1,0.9,0.2,0.7,1,0.5,1,0.6,0.6,120,120,120,120,120,120,120,120,120,120
105,0.5,1.3,1.2,0.3,0.8,1.2,0.7,1.2,0.6,0.7,120,120,120,10,120,120,120,120,120,120
106,0.5,1,0.9,0.3,0.7,0.9,0.6,1,0.5,0.7,120,120,120,120,120,120,120,120,120,120
107,0.4,0.9,0.8,0.2,0.7,0.8,0.5,0.9,0.5,0.6,120,120,120,120,120,120,120,120,120,240
108,0.5,1.1,0.9,0.3,0.7,1,0.5,1,0.6,0.6,120,120,120,120,120,120,120,120,120,240
109,0.5,1.1,1,0.3,0.8,1,0.6,1,0.6,0.6,120,120,120,120,120,120,120,120,120,240
110,0.5,1.1,0.9,0.2,0.7,1,0.5,1,0.5,0.6,120,120,120,120,120,120,120,120,120,240
111,0.4,0.9,0.8,0.2,0.6,0.9,0.5,0.9,0.6,0.6,120,120,120,120,120,120,120,120,120,240
112,0.5,1,0.9,0.3,0.6,0.9,0.6,1,0.6,0.6,120,120,120,120,120,120,120,120,120,240
113,0.5,0.9,0.9,0.3,0.7,0.9,0.5,0.9,0.6,0.6,120,120,120,120,120,120,120,120,120,240
114,0.5,1,0.9,0.2,0.7,0.9,0.5,1,0.5,0.7,120,120,120,120,120,120,120,120,120,240
115,0.5,1.1,1,0.3,0.8,1.1,0.7,1,0.7,0.7,120,120,120,10,120,120,120,120,120,240
116,0.5,1.2,1.1,0.3,0.8,1.1,0.6,1.2,0.6,0.7,120,120,120,120,120,120,120,120,120,240
117,0.5,1.1,0.9,0.2,0.7,0.9,0.5,1,0.6,0.7,120,120,120,120,120,120,120,120,120,240
118,0.4,1,0.9,0.2,0.7,0.9,0.6,1,0.6,0.6,120,120,120,120,120,120,120,120,120,120
119,0.5,1,0.9,0.3,0.8,1,0.6,1,0.7,0.9,120,120,120,120,120,120,120,120,120,120
120,0.5,1,1,0.2,0.7,0.9,0.5,1,0.6,0.7,120,120,120,120,120,120,120,120,120,120
121,0.5,1.1,1,0.3,0.8,1,0.6,1,0.6,0.6,120,120,120,120,120,120,120,120,120,120
122,0.5,1,1,0.2,0.7,0.9,0.5,1.1,0.6,0.6,120,120,120,120,120,120,120,120,120,120
123,0.4,1,0.9,0.2,0.7,0.9,0.5,0.9,0.6,0.7,120,120,120,120,120,120,120,120,120,120
124,0.4,0.8,0.8,0.2,0.6,0.8,0.5,0.9,0.5,0.6,120,120,120,10,120,120,120,120,120,120
