CH Name,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R
CH No.,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH23,CH24,CH25,CH26
33,0.8,0.9,2.5,0.2,0.7,3,3,3.3,1.3,3.8,1.3,1.3,4.3,3.1,0.4,0.9,1.5,5.5,1.1,8.1,70,300,69,4,5,63,30,65,45,62,69,61,91,69,107,45,30,71,93,64
34,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,6,300,30,5,8,5,31,107,7,31,200,107,31,31,107,31,31,91,309,31
35,0.3,0.8,0.9,0.2,0.3,0.8,1.6,1.3,0.4,1.4,0.4,0.5,0.8,0.8,0.2,0.7,0.8,2.1,0.4,2.3,19,18,37,17,37,18,18,37,4,40,18,40,18,41,106,18,19,71,146,40
36,0.4,1,0.9,0.2,0.7,0.9,2.8,3.7,0.8,4.2,0.3,1.5,1,1,0.4,1.2,2.2,4.6,0.9,5.8,24,37,30,40,37,37,29,37,44,37,29,37,44,44,277,37,62,62,135,36
37,0.5,0.8,0.7,0.2,0.7,0.9,3.3,2,1,2.4,0.4,0.8,1.8,1.3,0.4,1.5,2.5,7,1,3.3,51,51,51,51,51,51,51,51,43,51,51,51,92,43,43,43,51,92,43,51
38,0.6,0.9,1,0.2,1.1,1.1,2.4,1.6,0.4,1.5,0.6,0.6,1,0.8,0.3,0.5,3,3.5,0.6,1.9,54,54,54,54,54,54,54,54,54,54,54,54,106,55,211,53,210,106,211,54
39,0.5,0.9,1.1,0.2,1.7,1.2,2.7,2,0.5,1.9,0.8,0.7,1.2,1.3,0.4,0.5,1.8,4.2,0.8,2.2,58,58,58,58,58,58,58,59,58,59,58,59,59,59,58,24,59,59,118,58
40,0.9,0.8,1.8,0.3,2,1.5,4.1,4.2,1.4,4.2,1,1.6,3.4,4.2,0.7,1.2,3.4,6.1,1.9,4.7,127,24,63,61,62,63,63,63,63,63,63,63,63,63,63,63,63,62,127,63
41,1,1.6,2.7,0.3,2,1.6,3.3,5.1,2.2,5.1,1.3,2,4.8,5.7,0.9,1.4,2.8,6.7,2.9,5,131,66,67,131,67,66,66,67,67,67,66,67,67,67,134,67,66,66,134,66
42,0.5,1.8,2.1,0.2,2,1.3,1.6,4.7,1.9,4.9,1,1.9,4.5,5,0.7,1.1,1.8,8.7,2.3,3.6,72,139,70,213,71,71,70,71,71,71,70,71,71,71,139,71,70,73,139,70
