CH Name,DIS AD 우(하단),DIS AD 우(중),DIS 1R,DIS 1R,SUC AD 우(중),SUC AD 우(상),SUC AD 후(상),SUC AD 좌(중),SUC AD 전(하단),DIS AD 전(하단),SUC 1R,VI 8R,SUC 2R,SUC 3R,압력센서 직관 용접(하),압력센서 직관 용접(상),VI 직관 용접,VI 7R,DIS AD 우(하단),DIS AD 우(중),DIS 1R,DIS 1R,SUC AD 우(중),SUC AD 우(상),SUC AD 후(상),SUC AD 좌(중),SUC AD 전(하단),DIS AD 전(하단),SUC 1R,VI 8R,SUC 2R,SUC 3R,압력센서 직관 용접(하),압력센서 직관 용접(상),VI 직관 용접,VI 7R
CH No.,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26
41,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,22,300,180,5,29,18,29,15,4,5,29,15,15,48,180,4,15,48
42,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,4,180,15,4,15,4,41,4,15,4,15,15,15,30,300,8,15,48
43,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.3,6,7,15,29,15,21,15,29,15,11,15,15,15,31,180,11,15,48
44,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.2,0.3,41,180,180,29,29,15,27,15,15,33,29,15,15,32,300,4,15,48
45,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.3,48,60,180,30,15,41,41,33,15,4,15,15,15,30,300,7,15,48
46,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.3,0.2,0.3,15,180,300,29,29,15,29,15,15,21,29,15,15,29,300,7,15,48
47,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,48,48,180,6,29,32,29,4,29,140,30,15,15,29,180,4,15,48
48,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.6,0.4,0.6,0.3,0.3,0.3,0.4,0.4,7,12,15,11,15,4,15,15,15,12,41,11,15,48,300,153,12,48
49,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.5,0.2,0.2,0.2,0.2,0.4,20,11,15,19,15,16,19,31,15,5,48,15,15,31,180,10,16,48
50,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,8,7,15,29,30,41,29,33,15,150,30,15,15,30,300,4,15,48
51,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,9,180,15,6,30,6,41,31,15,150,32,15,15,32,5,5,15,48
52,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.3,0.5,0.2,0.2,0.3,0.3,0.3,5,300,300,17,4,4,17,18,15,50,43,6,15,17,4,4,15,48
