CH Name,D_정면,D_측면,D_1R,D_2R,D_3R,S_정면,S_측면,S_1R,S_2R,S_3R,D_정면,D_측면,D_1R,D_2R,D_3R,S_정면,S_측면,S_1R,S_2R,S_3R
CH No.,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26
94,1.0,1.2,1.3,1.3,2.2,0.9,1.4,1.4,1.2,1.0,47,120,47,47,47,120,109,120,120,120
95,1.1,1.3,1.6,1.3,2.3,0.8,1.1,1.4,1.3,1.0,47,120,47,47,47,120,12,120,120,120
96,1.0,1.2,1.7,1.4,1.9,0.8,1.2,1.4,1.1,1.0,47,120,47,47,47,120,109,120,120,120
97,1.0,1.3,1.5,1.1,2.4,0.9,1.2,1.8,1.2,1.0,47,120,47,47,47,120,12,120,120,120
98,1.1,1.2,1.3,1.2,2.2,0.9,1.2,1.5,1.3,0.9,47,120,120,47,47,120,109,120,120,120
99,1.0,1.2,1.4,1.4,2.2,0.8,1.3,1.6,1.2,1.0,47,120,47,47,47,120,109,120,120,120
100,1.0,1.2,1.5,1.3,2.0,0.8,1.3,1.5,1.2,1.1,47,120,47,47,47,120,12,120,120,120
101,1.1,1.1,1.6,1.4,2.3,1.0,1.3,1.6,1.3,1.0,47,120,47,47,47,120,109,120,120,120
102,1.0,1.3,1.3,1.2,2.0,0.9,1.4,1.6,1.1,0.9,47,120,47,47,47,120,109,120,120,120
103,1.1,1.1,1.5,1.2,2.2,0.9,1.3,1.6,1.3,1.0,47,120,47,47,47,120,109,120,120,120
104,1.0,1.3,1.5,1.2,2.2,0.9,1.3,1.7,1.3,1.0,47,360,47,47,47,360,109,360,120,120
105,1.0,1.1,1.4,1.3,2.3,0.9,1.2,1.6,1.3,1.1,47,120,47,47,47,360,109,120,120,120
106,1.1,1.2,1.5,1.2,2.4,0.8,1.3,1.7,1.3,0.9,47,120,47,47,47,120,109,120,120,120
107,0.9,1.4,1.5,1.2,2.1,0.8,1.3,1.6,1.2,1.0,47,120,47,47,47,120,109,120,120,120
108,1.0,1.1,1.4,1.2,2.2,0.8,1.3,1.5,1.4,0.9,47,120,47,47,47,120,109,120,120,120
109,1.1,1.4,1.6,1.4,2.2,1.0,1.3,1.7,1.3,1.0,47,120,47,47,47,120,109,120,120,120
110,1.0,1.2,1.6,1.4,2.3,0.8,1.2,1.8,1.3,1.1,47,120,47,47,47,120,120,120,120,120
111,1.3,1.3,1.4,1.4,2.2,0.8,1.1,1.5,1.5,1.1,47,120,47,47,47,120,120,120,120,120
112,1.2,1.3,1.7,1.4,2.3,0.9,1.2,1.6,1.5,1.4,47,120,47,47,47,120,128,120,28,120
113,1.1,1.4,1.5,1.3,2.4,1.0,1.3,1.5,1.6,1.1,47,120,47,47,47,120,127,120,28,120
114,1.0,1.2,1.7,1.4,2.1,0.9,1.2,1.6,1.6,1.1,47,120,120,47,47,120,127,120,28,120
115,1.1,1.3,1.5,1.4,2.1,1.1,1.3,1.4,1.7,1.0,47,120,120,47,47,120,127,120,28,120
116,1.1,1.2,1.7,1.4,2.4,0.9,1.2,1.8,1.5,1.0,47,120,47,47,47,120,127,120,28,120
117,1.2,1.4,1.6,1.4,2.2,0.9,1.3,1.6,1.5,1.2,47,120,47,47,47,120,127,120,28,120
118,1.1,1.3,1.7,1.3,2.3,0.9,1.2,1.8,1.5,1.1,47,120,47,47,47,120,127,120,28,120
119,1.0,1.3,1.5,1.3,2.3,1.0,1.2,1.5,1.6,1.2,47,120,47,47,47,120,127,127,28,120
120,1.2,1.3,1.4,1.3,2.2,0.9,1.3,1.7,1.5,1.3,47,120,47,47,47,120,127,127,28,120
121,1.1,1.2,1.6,1.4,2.2,0.9,1.2,1.5,1.4,1.1,47,120,47,47,47,360,127,127,28,120
122,1.1,1.2,1.7,1.5,2.4,0.8,1.1,1.4,1.5,1.3,47,360,47,47,47,360,127,127,28,120
123,1.2,1.4,1.6,1.5,2.5,0.8,1.6,1.9,1.7,1.1,47,28,47,47,47,360,127,127,28,120
124,1.2,1.3,1.6,1.4,2.1,0.9,1.2,1.4,1.7,1.2,47,120,47,47,47,360,127,127,28,120
125,1.1,1.2,1.7,1.3,2.4,0.8,1.2,1.5,1.5,1.3,47,360,47,47,47,360,127,127,28,120
126,1.1,1.2,1.7,1.5,2.2,0.9,1.1,1.5,1.6,1.2,47,360,47,47,47,360,127,127,28,120
127,1.2,1.3,1.6,1.5,2.5,0.8,1.3,1.6,1.7,1.2,47,120,47,47,47,120,127,127,28,120
128,1.2,1.3,1.6,1.4,2.5,1.0,1.3,1.7,1.5,1.2,47,120,47,47,47,120,127,120,28,120
129,1.1,1.4,1.5,1.4,2.3,0.9,1.3,1.5,1.7,1.3,47,120,47,47,47,120,127,120,28,120
130,1.1,1.4,1.6,1.5,2.2,1.0,1.3,1.8,1.7,1.3,47,120,47,47,47,120,127,120,28,120
131,1.1,1.4,1.6,1.4,2.1,1.0,1.2,1.5,1.5,1.2,47,120,47,47,47,120,127,120,28,120
132,1.2,1.3,1.6,1.5,2.5,0.8,1.6,1.9,1.7,1.2,47,120,47,47,47,120,127,120,28,120
133,1.1,1.3,1.6,1.7,2.3,1.1,1.5,1.9,1.7,1.3,47,120,47,47,47,120,127,120,28,120
134,1.1,1.3,1.7,1.5,2.4,1.0,1.3,1.7,1.6,1.3,47,120,47,47,47,120,127,120,28,120
135,1.2,1.4,1.8,1.9,2.5,0.9,1.3,1.8,1.6,1.3,47,120,47,47,47,120,127,120,28,120
136,1.3,1.3,1.6,1.5,2.5,0.9,1.3,1.7,1.8,1.2,47,120,47,47,47,120,127,120,28,120
137,1.2,1.4,1.8,1.7,2.3,0.9,1.3,1.9,1.6,1.2,47,120,47,47,47,120,127,120,28,120
138,1.1,1.2,1.7,1.5,2.6,0.9,1.3,1.8,1.6,1.2,47,120,47,47,47,120,127,127,28,120
139,1.2,1.4,1.6,1.5,2.3,1.0,1.4,1.8,1.8,1.2,47,120,47,47,47,360,127,127,28,120
140,1.0,1.2,1.6,1.6,2.2,0.9,1.4,1.9,1.8,1.3,47,360,47,47,47,360,127,127,28,120
141,1.1,1.2,1.5,1.6,2.3,0.9,1.2,1.8,1.5,1.0,47,360,47,47,47,360,127,127,28,120
142,1.2,1.4,1.5,1.5,2.6,0.8,1.5,1.7,1.6,1.3,47,360,47,47,47,360,127,127,28,120
143,1.2,1.2,1.8,1.6,2.6,0.9,1.3,1.7,1.7,1.2,47,360,47,47,47,360,127,127,28,120
144,1.2,1.5,1.6,1.6,2.5,0.9,1.4,1.8,1.7,1.4,47,360,47,47,47,360,127,127,28,120
145,1.2,1.4,1.7,1.5,2.4,1.0,1.4,1.7,1.8,1.2,47,360,47,47,47,360,127,127,28,120
146,1.1,1.4,1.5,1.6,2.3,0.9,1.4,1.6,1.7,1.3,47,360,47,47,47,360,127,127,28,120
147,1.2,1.4,1.8,1.6,2.3,0.9,1.3,1.6,1.7,1.2,47,28,47,47,47,360,127,127,28,120
148,1.1,1.4,2.0,1.4,2.4,1.0,1.4,2.0,1.8,1.1,47,360,47,47,47,360,127,127,28,120
149,1.2,1.3,1.8,1.5,2.2,0.9,1.4,1.9,1.7,1.2,47,360,47,47,47,360,127,127,28,120
