CH Name,D_정면,D_측면,D_2R,D_5R,D_6R,D_manifold,S_정면,S_측면,S_2R,S_5R,S_7R,S_8R,D_정면,D_측면,D_2R,D_5R,D_6R,D_manifold,S_정면,S_측면,S_2R,S_5R,S_7R,S_8R
CH No.,CH17,CH18,CH19,CH20,CH21,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH17,CH18,CH19,CH20,CH21,CH25,CH26,CH27,CH28,CH29,CH30,CH31
103,0.9,2,1.1,1.4,0.9,1,1.1,1.8,1.4,0.7,0.9,1.5,75,37,120,37,37,37,120,37,37,120,37,37
104,0.8,1.9,1.2,1.3,0.9,1.2,1.1,1.9,1.4,0.8,0.8,1.4,75,37,120,37,37,37,120,37,37,120,37,37
105,0.9,1.8,1.2,1.3,1,1.1,1.1,2,1.4,0.8,0.8,1.4,75,37,120,37,37,37,120,37,37,120,37,37
106,0.9,2,1.1,1.3,0.9,1.1,1.2,2,1.5,0.7,0.9,1.5,75,37,120,37,37,37,120,37,37,120,37,37
107,0.9,2,1.2,1.3,1,1.2,1.2,2,1.6,0.8,0.9,1.8,75,37,120,37,37,37,120,37,37,120,37,37
108,0.9,1.8,1.2,1.3,0.9,1.2,1.1,2,1.4,0.8,0.9,1.5,75,37,120,37,37,37,120,37,37,120,37,37
109,0.9,1.9,1.1,1.4,0.9,1.1,1.2,1.9,1.4,0.7,0.9,1.7,75,37,120,37,37,37,120,37,37,120,37,37
110,0.9,1.9,1.1,1.4,1,1.1,1,2,1.4,0.7,0.9,1.5,75,37,120,37,37,37,120,37,37,120,37,37
111,0.8,1.8,1.2,1.3,0.9,1.2,1.1,1.9,1.4,0.7,0.9,1.6,75,37,120,37,37,37,120,37,37,120,37,37
112,0.9,1.8,1.1,1.3,0.9,1.1,1.1,2.1,1.3,0.8,0.8,1.7,75,37,120,37,37,37,120,37,37,120,37,37
113,0.9,1.7,1.1,1.3,0.9,1.2,1.1,1.9,1.4,0.7,0.8,1.7,75,37,120,37,37,37,120,37,37,120,37,37
114,0.8,1.9,1.1,1.2,0.8,1.1,1.1,1.8,1.6,0.6,0.8,1.9,75,37,120,37,37,37,120,37,37,120,37,37
115,0.8,1.7,1.2,1.1,0.9,1.1,1.1,2,1.3,0.8,0.8,1.6,75,37,120,37,37,37,120,37,37,120,37,37
116,0.8,1.8,1.1,1.2,0.9,1.2,1.1,2,1.4,0.8,0.8,1.6,75,37,120,37,37,37,120,37,37,120,37,37
117,0.9,1.8,1.1,1.2,1,1.1,1.2,2,1.3,0.7,0.8,1.6,75,37,120,37,37,37,120,37,37,120,37,37
118,0.9,1.7,1,1.2,0.9,1.2,1.1,2,1.4,0.7,0.8,1.7,75,37,120,37,37,37,120,37,37,120,37,37
119,0.8,1.7,1,1.1,0.9,1.2,1.1,1.9,1.4,0.7,0.8,1.7,75,37,37,37,37,37,120,37,37,120,37,37
120,0.9,1.7,0.9,1.1,0.8,1.1,1.1,2,1.3,0.7,0.8,1.4,75,37,37,37,37,37,120,37,37,120,37,37
121,0.8,1.8,0.9,1.2,0.9,1.1,1.1,2,1.3,0.7,0.7,1.5,75,37,37,37,37,37,120,37,37,120,37,37
122,0.8,1.7,0.9,1.1,0.8,1.1,1,2,1.3,0.7,0.8,1.6,75,37,37,37,37,37,120,37,37,120,37,37
123,0.8,1.6,0.9,1.1,0.9,1,1,2,1.4,0.8,0.7,1.4,75,37,37,37,37,37,120,37,37,120,37,37
124,0.8,1.8,0.9,1.1,0.8,1.2,1.1,1.9,1.2,0.7,0.7,1.5,75,37,37,37,37,37,120,37,37,120,37,37
125,0.8,1.7,1,1.3,0.8,1.1,1.1,1.9,1.2,0.6,0.7,1.5,75,37,37,37,37,37,120,37,37,120,37,37
126,0.8,1.6,1,1,0.8,1.1,1.1,1.9,1.3,0.7,0.7,1.4,75,37,120,37,37,37,120,37,37,120,37,37
127,0.8,1.7,1,1.2,0.8,1.1,1.1,2,1.1,0.7,0.7,1.5,75,37,120,37,37,37,120,37,37,120,37,37
128,0.8,1.7,1,1.1,0.8,1.2,1.1,1.9,1.3,0.7,0.8,1.5,75,37,120,37,37,37,120,37,37,120,37,37
129,0.8,1.7,1.1,1.1,0.8,1.1,1.1,1.9,1.3,0.7,0.8,1.5,75,37,120,37,37,37,120,37,37,120,37,37
130,0.8,1.7,1.1,1,0.9,1.1,1.1,1.8,1.3,0.7,0.7,1.5,75,37,120,37,37,37,120,37,37,120,37,37
131,0.8,1.7,1.1,1.1,0.8,1.1,1,2.1,1.3,0.7,0.7,1.5,74,37,120,37,37,37,120,37,37,120,37,37
132,0.8,1.7,1.1,1,0.8,1.2,1,1.9,1.2,0.6,0.8,1.6,75,37,120,37,37,37,120,37,37,120,37,37
133,0.8,1.7,1.1,1,0.8,1.2,1,1.8,1.3,0.7,0.7,1.5,75,37,120,37,37,37,120,37,37,120,37,37
134,0.9,1.9,1.1,1,0.8,1,1,2,1.3,0.7,0.7,1.6,75,37,120,37,37,37,120,37,37,120,37,37
135,0.8,1.7,1.1,1,0.8,1.1,1,1.9,1.1,0.6,0.7,1.5,75,37,120,37,37,37,120,37,37,120,37,37
136,0.9,1.7,1.2,1,0.8,1.2,1,2,1.3,0.7,0.8,1.6,75,37,120,37,37,37,120,37,37,120,37,37
137,0.8,1.7,1.1,1,0.8,1.2,1.1,1.9,1.2,0.7,0.7,1.6,75,37,120,37,37,37,120,37,37,120,37,37
138,0.8,1.8,1.1,1,0.8,1.1,1.1,1.9,1.3,0.6,0.8,1.7,75,37,120,37,37,37,120,37,37,120,37,37
139,0.8,1.7,1.1,1,0.8,1.2,1,1.9,1.2,0.7,0.7,1.7,75,37,120,37,37,37,120,37,37,120,37,37
140,0.8,1.8,1.1,1,0.8,1.2,1.1,1.8,1.3,0.7,0.7,1.6,75,37,120,37,37,37,120,37,37,120,37,37
141,0.9,1.9,1.1,1,0.8,1.2,1.1,2,1.2,0.7,0.8,1.7,75,37,120,37,37,37,120,37,37,120,37,37
142,0.8,1.7,1,1,0.8,1.2,1,1.8,1.2,0.6,0.8,1.6,75,37,120,37,37,37,120,37,37,120,37,37
