CH Name,DIS AD 우(하단),DIS AD 우(중),DIS 1R,DIS 1R,SUC AD 우(중),SUC AD 우(상),SUC AD 후(상),SUC AD 좌(중),SUC AD 전(하단),DIS AD 전(하단),SUC 1R,VI 8R,SUC 2R,SUC 3R,압력센서 직관 용접(하),압력센서 직관 용접(상),VI 직관 용접,VI 7R,DIS AD 우(하단),DIS AD 우(중),DIS 1R,DIS 1R,SUC AD 우(중),SUC AD 우(상),SUC AD 후(상),SUC AD 좌(중),SUC AD 전(하단),DIS AD 전(하단),SUC 1R,VI 8R,SUC 2R,SUC 3R,압력센서 직관 용접(하),압력센서 직관 용접(상),VI 직관 용접,VI 7R
CH No.,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26
35,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.6,81,8,81,4,31,12,18,15,16,121,15,15,15,15,81,6,15,81
36,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,5,180,9,15,20,20,20,10,15,6,10,15,15,15,300,4,15,81
37,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,81,9,81,5,4,5,20,15,18,92,81,10,15,81,81,22,81,81
38,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.2,0.2,0.2,0.5,4,4,81,15,31,10,81,15,15,72,15,10,15,81,81,9,15,81
39,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,67,300,81,4,29,29,20,10,20,10,29,15,15,29,81,10,15,81
40,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.5,4,7,81,5,29,29,29,10,29,4,29,15,15,81,81,4,15,81
41,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.5,81,4,81,29,29,29,29,34,29,4,29,15,15,81,81,5,15,81
42,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,5,180,5,20,20,4,20,5,20,4,33,15,15,30,300,15,15,81
43,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.3,4,6,15,16,29,8,20,16,20,153,16,15,15,29,180,39,15,15
44,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,29,5,18,19,29,4,29,15,16,18,29,10,15,30,180,4,15,15
45,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,241,180,39,16,29,4,20,15,20,5,15,15,15,15,300,10,15,20
46,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,29,180,20,4,29,4,20,19,15,6,29,15,15,9,4,6,15,15
47,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,36,4,16,15,29,29,29,14,29,28,29,10,15,29,300,7,15,15
48,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,21,76,21,15,20,20,20,17,20,13,29,15,15,29,180,10,15,10
49,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,5,7,9,28,20,6,20,15,31,5,31,10,15,31,300,10,15,10
50,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,180,5,16,6,16,10,29,34,34,143,29,15,15,34,180,7,15,15
51,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9,4,59,29,29,20,29,10,29,64,29,15,15,29,8,4,15,15
52,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,10,180,115,29,29,29,29,10,29,5,29,15,15,29,180,6,15,15
53,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.3,0.2,0.2,10,180,83,16,15,9,31,44,31,101,31,15,15,33,300,4,15,15
54,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.3,0.2,0.2,31,18,15,29,20,16,20,15,20,5,15,15,15,34,300,6,15,15
55,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,45,180,36,4,20,29,20,9,20,119,10,10,15,171,180,6,15,10
56,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.3,4,24,17,15,8,20,17,25,30,17,30,12,15,31,300,6,15,17
57,0.5,0.7,0.9,3.5,1.5,1.6,2.5,1,1.6,0.4,4,1.8,6.4,2.6,0.5,0.4,2.7,2.2,30,34,15,33,18,17,17,17,18,150,41,11,18,31,44,17,12,28
58,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,14,4,11,29,20,20,20,21,29,150,29,10,20,29,180,4,15,51
59,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,4,180,29,4,29,30,29,18,29,150,30,9,15,30,180,7,15,9
60,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.4,0.2,0.2,0.3,0.2,0.3,5,300,15,5,33,4,20,4,15,150,46,10,19,46,180,6,15,49
61,0.3,0.2,0.4,0.7,0.5,0.7,1.2,0.4,0.5,0.2,0.9,1.1,2.3,0.9,0.2,0.3,1.1,0.8,7,9,67,7,18,18,18,13,18,150,39,7,18,4,67,17,13,28
62,0.6,0.5,0.3,1.2,0.9,1,1.5,0.6,0.8,0.4,1.1,3.3,1.2,0.5,0.3,0.7,2.1,2,8,10,9,10,10,8,11,8,11,8,8,10,12,19,11,11,8,10
63,0.3,0.3,0.7,0.9,3,1.7,4.3,0.7,2.9,0.3,1.7,1.7,7.7,0.8,0.5,0.7,2.3,2.4,13,15,16,17,16,16,16,68,16,14,16,15,16,15,68,15,17,28
